pose_x [m], pose_y [m], pose_theta [rad], v [m/s], delta [rad], v_opt [m/s], delta_opt [rad], x_e, y_e, theta_e, x_ref, y_ref, theta_ref, v_ref [m/s], delta_ref [rad], v_k [m/s], delta_k [rad], v_k+1 [m/s], delta_k+1 [rad], v_k+2 [m/s], delta_k+2 [rad], v_k+3 [m/s], delta_k+3 [rad], v_k+4 [m/s], delta_k+4 [rad], v_k+5 [m/s], delta_k+5 [rad], v_k+6 [m/s], delta_k+6 [rad], v_k+7 [m/s], delta_k+7 [rad], v_k+8 [m/s], delta_k+8 [rad], v_k+9 [m/s], delta_k+9 [rad], v_k+10 [m/s], delta_k+10 [rad], v_k+11 [m/s], delta_k+11 [rad], v_k+12 [m/s], delta_k+12 [rad], v_k+13 [m/s], delta_k+13 [rad], v_k+14 [m/s], delta_k+14 [rad], v_k+15 [m/s], delta_k+15 [rad], v_k+16 [m/s], delta_k+16 [rad], v_k+17 [m/s], delta_k+17 [rad], v_k+18 [m/s], delta_k+18 [rad], v_k+19 [m/s], delta_k+19 [rad], v_k+20 [m/s], delta_k+20 [rad], v_k+21 [m/s], delta_k+21 [rad], v_k+22 [m/s], delta_k+22 [rad], v_k+23 [m/s], delta_k+23 [rad], v_k+24 [m/s], delta_k+24 [rad], v_k+25 [m/s], delta_k+25 [rad], v_k+26 [m/s], delta_k+26 [rad], v_k+27 [m/s], delta_k+27 [rad], v_k+28 [m/s], delta_k+28 [rad], v_k+29 [m/s], delta_k+29 [rad], v_k+30 [m/s], delta_k+30 [rad], v_k+31 [m/s], delta_k+31 [rad], v_k+32 [m/s], delta_k+32 [rad], v_k+33 [m/s], delta_k+33 [rad], v_k+34 [m/s], delta_k+34 [rad], v_k+35 [m/s], delta_k+35 [rad], v_k+36 [m/s], delta_k+36 [rad], v_k+37 [m/s], delta_k+37 [rad], v_k+38 [m/s], delta_k+38 [rad], v_k+39 [m/s], delta_k+39 [rad], v_k+40 [m/s], delta_k+40 [rad], v_k+41 [m/s], delta_k+41 [rad], v_k+42 [m/s], delta_k+42 [rad], v_k+43 [m/s], delta_k+43 [rad], v_k+44 [m/s], delta_k+44 [rad], v_k+45 [m/s], delta_k+45 [rad], v_k+46 [m/s], delta_k+46 [rad], v_k+47 [m/s], delta_k+47 [rad], v_k+48 [m/s], delta_k+48 [rad], v_k+49 [m/s], delta_k+49 [rad]
-0.400181, 1.29086e-05, -3.22501e-05, 0.000335146, 2.37022e-11, 0.000335146, 2.37022e-11, -0.000176176, -3.75892e-07, -3.22501e-05, -0.400005, 1.32845e-05, 0, 1e-10, 0, 0.000335146, 2.37022e-11, 0.000303262, 8.30502e-07, 0.000274411, 3.21018e-06, 0.000248304, 6.97099e-06, 0.00022468, 1.19438e-05, 0.000203303, 1.79581e-05, 0.000183959, 2.48426e-05, 0.000166454, 3.24257e-05, 0.000150614, 4.05379e-05, 0.00013628, 4.89156e-05, 0.000123309, 5.57962e-05, 0.000111571, 6.07343e-05, 0.000100948, 6.39334e-05, 9.13355e-05, 6.55962e-05, 8.2636e-05, 6.59189e-05, 7.47629e-05, 6.50875e-05, 6.76374e-05, 6.32742e-05, 6.11882e-05, 6.06359e-05, 5.53509e-05, 5.74369e-05, 5.00672e-05, 5.43114e-05, 4.52841e-05, 5.13248e-05, 4.09539e-05, 4.84702e-05, 3.70332e-05, 4.57408e-05, 3.34828e-05, 4.31301e-05, 3.02673e-05, 4.06322e-05, 2.73544e-05, 3.8241e-05, 2.47151e-05, 3.5951e-05, 2.23229e-05, 3.37568e-05, 2.0154e-05, 3.16531e-05, 1.81866e-05, 2.96351e-05, 1.6401e-05, 2.76981e-05, 1.47795e-05, 2.58373e-05, 1.33058e-05, 2.40486e-05, 1.19651e-05, 2.23276e-05, 1.07441e-05, 2.06703e-05, 9.63049e-06, 1.90728e-05, 8.61321e-06, 1.75314e-05, 7.68207e-06, 1.60424e-05, 6.82774e-06, 1.46023e-05, 6.04169e-06, 1.32078e-05, 5.31606e-06, 1.18555e-05, 4.64359e-06, 1.05424e-05, 4.01756e-06, 9.26524e-06, 3.4317e-06, 8.02111e-06, 2.88016e-06, 6.80709e-06, 2.35742e-06, 5.62032e-06, 1.85825e-06, 4.45803e-06, 1.37767e-06, 3.31749e-06, 9.10864e-07, 2.19605e-06, 4.53166e-07, 1.09107e-06
-0.400174, 1.30991e-05, -3.27269e-05, 0.00236085, 7.44689e-07, 0.000385122, 7.44689e-07, -0.000202447, -1.85238e-07, -2.88197e-05, -0.399972, 1.32844e-05, -3.90717e-06, 0.00197572, 0, 0.000385122, 7.44689e-07, 0.000348483, 2.87874e-06, 0.00031533, 6.25203e-06, 0.00028533, 1.07133e-05, 0.000258183, 1.61103e-05, 0.000233618, 2.22897e-05, 0.00021139, 2.90983e-05, 0.000191275, 3.63843e-05, 0.000173073, 4.39117e-05, 0.000156601, 5.00985e-05, 0.000141696, 5.45441e-05, 0.000128208, 5.74308e-05, 0.000116001, 5.89396e-05, 0.000104955, 5.92463e-05, 9.49583e-05, 5.85171e-05, 8.59111e-05, 5.69063e-05, 7.77231e-05, 5.4554e-05, 7.03123e-05, 5.16973e-05, 6.36046e-05, 4.89066e-05, 5.7533e-05, 4.62408e-05, 5.20367e-05, 4.36937e-05, 4.70607e-05, 4.12593e-05, 4.25554e-05, 3.89318e-05, 3.84756e-05, 3.67058e-05, 3.47806e-05, 3.4576e-05, 3.14334e-05, 3.25374e-05, 2.84005e-05, 3.05852e-05, 2.56516e-05, 2.87149e-05, 2.31592e-05, 2.6922e-05, 2.08985e-05, 2.52023e-05, 1.88467e-05, 2.35517e-05, 1.69833e-05, 2.19664e-05, 1.52899e-05, 2.04427e-05, 1.37493e-05, 1.89769e-05, 1.23462e-05, 1.75656e-05, 1.10665e-05, 1.62056e-05, 9.89757e-06, 1.48935e-05, 8.82758e-06, 1.36263e-05, 7.84586e-06, 1.2401e-05, 6.9426e-06, 1.12148e-05, 6.10877e-06, 1.00648e-05, 5.33602e-06, 8.94836e-06, 4.61664e-06, 7.86287e-06, 3.94342e-06, 6.80578e-06, 3.30963e-06, 5.77459e-06, 2.70895e-06, 4.7669e-06, 2.13535e-06, 3.78035e-06, 1.5831e-06, 2.81263e-06, 1.04669e-06, 1.86147e-06, 5.2074e-07, 9.24642e-07
-0.400071, 1.30958e-05, -3.27269e-05, 0.00852899, 2.89045e-06, 0.000626099, 2.89045e-06, -0.000329121, -1.87667e-07, -2.88197e-05, -0.399741, 1.32835e-05, -3.90717e-06, 0.0079029, 0, 0.000626099, 2.89045e-06, 0.000566535, 6.2782e-06, 0.000512637, 1.07597e-05, 0.000463866, 1.61825e-05, 0.000419733, 2.23931e-05, 0.000379797, 2.92379e-05, 0.00034366, 3.65649e-05, 0.000310958, 4.41373e-05, 0.000281367, 5.03647e-05, 0.000254589, 5.48441e-05, 0.000230357, 5.7758e-05, 0.000208429, 5.92879e-05, 0.000188585, 5.96099e-05, 0.000170627, 5.88908e-05, 0.000154375, 5.72853e-05, 0.000139667, 5.49338e-05, 0.000126356, 5.20747e-05, 0.000114308, 4.9282e-05, 0.000103403, 4.66152e-05, 9.35323e-05, 4.40679e-05, 8.45969e-05, 4.16343e-05, 7.65074e-05, 3.93085e-05, 6.9183e-05, 3.70851e-05, 6.25504e-05, 3.49588e-05, 5.65434e-05, 3.29248e-05, 5.11017e-05, 3.0978e-05, 4.61711e-05, 2.91141e-05, 4.17022e-05, 2.73286e-05, 3.76504e-05, 2.56173e-05, 3.3975e-05, 2.39761e-05, 3.06393e-05, 2.24012e-05, 2.76101e-05, 2.08889e-05, 2.4857e-05, 1.94357e-05, 2.23524e-05, 1.80381e-05, 2.00714e-05, 1.66928e-05, 1.79911e-05, 1.53966e-05, 1.60906e-05, 1.41466e-05, 1.43511e-05, 1.29397e-05, 1.27551e-05, 1.17732e-05, 1.12867e-05, 1.06442e-05, 9.93113e-06, 9.55021e-06, 8.67486e-06, 8.48855e-06, 7.50535e-06, 7.45677e-06, 6.41088e-06, 6.45245e-06, 5.38053e-06, 5.47322e-06, 4.40398e-06, 4.5168e-06, 3.47147e-06, 3.58094e-06, 2.57368e-06, 2.66345e-06, 1.70162e-06, 1.7622e-06, 8.46576e-07, 8.75051e-07
-0.399749, 1.30853e-05, -3.27269e-05, 0.0189854, 6.30326e-06, 0.00120392, 6.30326e-06, -0.000632866, -1.95727e-07, -2.88197e-05, -0.399116, 1.3281e-05, -3.90717e-06, 0.0177815, 0, 0.00120392, 6.30326e-06, 0.00108939, 1.0804e-05, 0.000985749, 1.62513e-05, 0.000891966, 2.24916e-05, 0.000807103, 2.93708e-05, 0.00073031, 3.67368e-05, 0.000660821, 4.43517e-05, 0.000597941, 5.06176e-05, 0.00054104, 5.51289e-05, 0.000489549, 5.80682e-05, 0.000442953, 5.96177e-05, 0.000400788, 5.99537e-05, 0.00036263, 5.92436e-05, 0.000328098, 5.76425e-05, 0.000296848, 5.52913e-05, 0.000268565, 5.24292e-05, 0.000242969, 4.96341e-05, 0.000219802, 4.69656e-05, 0.000198833, 4.44177e-05, 0.000179853, 4.19841e-05, 0.000162671, 3.96593e-05, 0.000147116, 3.74378e-05, 0.000133032, 3.53143e-05, 0.000120278, 3.32838e-05, 0.000108727, 3.13415e-05, 9.82633e-05, 2.9483e-05, 8.87823e-05, 2.77037e-05, 8.0189e-05, 2.59995e-05, 7.23977e-05, 2.43664e-05, 6.53303e-05, 2.28006e-05, 5.89163e-05, 2.12984e-05, 5.30914e-05, 1.98561e-05, 4.77974e-05, 1.84705e-05, 4.29814e-05, 1.71382e-05, 3.85952e-05, 1.58562e-05, 3.45949e-05, 1.46214e-05, 3.09406e-05, 1.34308e-05, 2.75958e-05, 1.22818e-05, 2.45268e-05, 1.11716e-05, 2.17032e-05, 1.00975e-05, 1.90965e-05, 9.05717e-06, 1.66809e-05, 8.04802e-06, 1.4432e-05, 7.06771e-06, 1.23275e-05, 6.11396e-06, 1.03462e-05, 5.18452e-06, 8.46839e-06, 4.27722e-06, 6.67528e-06, 3.38993e-06, 4.94891e-06, 2.52057e-06, 3.27203e-06, 1.66713e-06, 1.62788e-06, 8.27558e-07
-0.399241, 1.28779e-05, -3.22501e-05, 0.0341674, 1.06816e-05, 0.00255578, 1.06816e-05, -0.0013435, -3.98374e-07, -2.83429e-05, -0.397897, 1.32763e-05, -3.90717e-06, 0.0316116, 0, 0.00255578, 1.06816e-05, 0.00231264, 1.60696e-05, 0.00209262, 2.22436e-05, 0.00189353, 2.90517e-05, 0.00171338, 3.63432e-05, 0.00155036, 4.3883e-05, 0.00140284, 5.00898e-05, 0.00126936, 5.45616e-05, 0.00114856, 5.74787e-05, 0.00103925, 5.90206e-05, 0.000940336, 5.9362e-05, 0.000850823, 5.86681e-05, 0.000769819, 5.70922e-05, 0.000696513, 5.47738e-05, 0.000630171, 5.19497e-05, 0.000570132, 4.91921e-05, 0.000515794, 4.65602e-05, 0.000466613, 4.40479e-05, 0.000422099, 4.16493e-05, 0.000381806, 3.93587e-05, 0.000345331, 3.71707e-05, 0.000312309, 3.50802e-05, 0.00028241, 3.30822e-05, 0.000255335, 3.11721e-05, 0.000230814, 2.93454e-05, 0.000208601, 2.75976e-05, 0.000188474, 2.59248e-05, 0.000170232, 2.4323e-05, 0.000153691, 2.27884e-05, 0.000138688, 2.13174e-05, 0.000125072, 1.99065e-05, 0.000112707, 1.85524e-05, 0.000101468, 1.7252e-05, 9.12442e-05, 1.6002e-05, 8.19329e-05, 1.47997e-05, 7.34408e-05, 1.36421e-05, 6.56832e-05, 1.25266e-05, 5.85824e-05, 1.14505e-05, 5.20675e-05, 1.04113e-05, 4.60732e-05, 9.40657e-06, 4.05396e-05, 8.43389e-06, 3.54114e-05, 7.491e-06, 3.06374e-05, 6.57569e-06, 2.61697e-05, 5.68582e-06, 2.19637e-05, 4.81929e-06, 1.79774e-05, 3.97408e-06, 1.41708e-05, 3.1482e-06, 1.05059e-05, 2.33972e-06, 6.94613e-06, 1.54676e-06, 3.45579e-06, 7.67425e-07
-0.397697, 1.22574e-05, -3.08196e-05, 0.052834, 1.53935e-05, 0.00344087, 1.53935e-05, -0.00180876, -1.01097e-06, -2.69124e-05, -0.395889, 1.32684e-05, -3.90717e-06, 0.0493931, 0, 0.00344087, 1.53935e-05, 0.00311353, 2.13121e-05, 0.00281732, 2.78406e-05, 0.00254928, 3.48343e-05, 0.00230674, 4.20672e-05, 0.00208726, 4.80227e-05, 0.00188866, 5.23147e-05, 0.00170894, 5.51154e-05, 0.00154632, 5.65968e-05, 0.00139915, 5.69264e-05, 0.00126598, 5.62628e-05, 0.00114547, 5.47534e-05, 0.00103641, 5.25323e-05, 0.000937721, 4.98267e-05, 0.000848405, 4.71855e-05, 0.000767573, 4.46656e-05, 0.000694417, 4.2261e-05, 0.000628206, 3.99661e-05, 0.000568276, 3.77754e-05, 0.000514029, 3.56838e-05, 0.000464922, 3.36864e-05, 0.000420464, 3.17784e-05, 0.000380211, 2.99555e-05, 0.00034376, 2.82131e-05, 0.000310747, 2.65474e-05, 0.000280841, 2.49542e-05, 0.000253744, 2.343e-05, 0.000229184, 2.1971e-05, 0.000206916, 2.05738e-05, 0.000186717, 1.92352e-05, 0.000168386, 1.79519e-05, 0.000151738, 1.6721e-05, 0.000136607, 1.55396e-05, 0.000122843, 1.44048e-05, 0.000110307, 1.3314e-05, 9.88741e-05, 1.22646e-05, 8.84299e-05, 1.12542e-05, 7.887e-05, 1.02803e-05, 7.00989e-05, 9.34068e-06, 6.20287e-05, 8.43312e-06, 5.45788e-05, 7.55547e-06, 4.76747e-05, 6.70568e-06, 4.12474e-05, 5.88175e-06, 3.52325e-05, 5.08174e-06, 2.95699e-05, 4.30377e-06, 2.42031e-05, 3.54603e-06, 1.90783e-05, 2.80673e-06, 1.41442e-05, 2.08415e-06, 9.35163e-06, 1.3766e-06, 4.65255e-06, 6.82385e-07
-0.396079, 1.27819e-05, -3.22501e-05, 0.0771888, 2.2466e-05, 0.00606276, 2.2466e-05, -0.00318701, -4.74826e-07, -2.83429e-05, -0.392892, 1.32567e-05, -3.90717e-06, 0.0711261, 0, 0.00606276, 2.2466e-05, 0.00548598, 2.93491e-05, 0.00496407, 3.67247e-05, 0.00449179, 4.4355e-05, 0.00406444, 5.06419e-05, 0.00367772, 5.51779e-05, 0.00332779, 5.81443e-05, 0.00301113, 5.9722e-05, 0.00272459, 6.00866e-05, 0.00246529, 5.94047e-05, 0.00223064, 5.78308e-05, 0.0020183, 5.55054e-05, 0.00182614, 5.26678e-05, 0.00165225, 4.98975e-05, 0.00149488, 4.72548e-05, 0.00135245, 4.47333e-05, 0.00122355, 4.23271e-05, 0.00110689, 4.00306e-05, 0.00100129, 3.78384e-05, 0.00090571, 3.57453e-05, 0.000819185, 3.37463e-05, 0.000740851, 3.18368e-05, 0.000669926, 3.00123e-05, 0.0006057, 2.82684e-05, 0.000547532, 2.66011e-05, 0.000494838, 2.50064e-05, 0.000447093, 2.34805e-05, 0.000403819, 2.20199e-05, 0.000364583, 2.06211e-05, 0.000328993, 1.92808e-05, 0.000296693, 1.79959e-05, 0.00026736, 1.67633e-05, 0.0002407, 1.55802e-05, 0.000216447, 1.44436e-05, 0.000194359, 1.3351e-05, 0.000174214, 1.22998e-05, 0.000155812, 1.12875e-05, 0.000138968, 1.03117e-05, 0.000123513, 9.37007e-06, 0.000109294, 8.46047e-06, 9.6167e-05, 7.58073e-06, 8.40021e-05, 6.72879e-06, 7.26772e-05, 5.90263e-06, 6.20791e-05, 5.10032e-06, 5.21018e-05, 4.31998e-06, 4.26455e-05, 3.55978e-06, 3.36156e-05, 2.81793e-06, 2.49219e-05, 2.09271e-06, 1.64774e-05, 1.38242e-06, 8.19773e-06, 6.85345e-07
-0.390866, 1.20752e-05, -3.08196e-05, 0.100912, 2.82048e-05, 0.00410112, 2.82048e-05, -0.00215584, -1.16517e-06, -2.69124e-05, -0.38871, 1.32404e-05, -3.90717e-06, 0.0968105, 0, 0.00410112, 2.82048e-05, 0.00371097, 3.52983e-05, 0.00335792, 4.26378e-05, 0.00303845, 4.8686e-05, 0.00274937, 5.30504e-05, 0.00248778, 5.59048e-05, 0.00225107, 5.74228e-05, 0.00203687, 5.77736e-05, 0.00184303, 5.71175e-05, 0.00166763, 5.56035e-05, 0.00150891, 5.33673e-05, 0.00136527, 5.06391e-05, 0.00123529, 4.79763e-05, 0.00111766, 4.54368e-05, 0.0010112, 4.30146e-05, 0.000914859, 4.07039e-05, 0.000827666, 3.84993e-05, 0.000748749, 3.63956e-05, 0.000677319, 3.43878e-05, 0.000612663, 3.24713e-05, 0.000554133, 3.06414e-05, 0.000501145, 2.88939e-05, 0.000453168, 2.72247e-05, 0.000409723, 2.56298e-05, 0.000370375, 2.41054e-05, 0.000334731, 2.2648e-05, 0.000302434, 2.12541e-05, 0.000273161, 1.99204e-05, 0.00024662, 1.86438e-05, 0.000222546, 1.74212e-05, 0.000200696, 1.62498e-05, 0.000180854, 1.51268e-05, 0.00016282, 1.40496e-05, 0.000146415, 1.30156e-05, 0.000131473, 1.20223e-05, 0.000117847, 1.10674e-05, 0.000105398, 1.01488e-05, 9.4004e-05, 9.2641e-06, 8.35498e-05, 8.41136e-06, 7.39311e-05, 7.58853e-06, 6.50517e-05, 6.79367e-06, 5.68228e-05, 6.02491e-06, 4.91621e-05, 5.28045e-06, 4.19931e-05, 4.55854e-06, 3.5244e-05, 3.85748e-06, 2.88473e-05, 3.17563e-06, 2.27391e-05, 2.51139e-06, 1.68583e-05, 1.8632e-06, 1.11461e-05, 1.22956e-06, 5.54531e-06, 6.08927e-07
-0.386685, 1.1448e-05, -2.98659e-05, 0.13318, 3.45437e-05, 0.00673403, 3.45437e-05, -0.00353988, -1.77065e-06, -2.59587e-05, -0.383145, 1.32186e-05, -3.90717e-06, 0.126446, 0, 0.00673403, 3.45437e-05, 0.0060934, 4.17312e-05, 0.00551369, 4.76552e-05, 0.00498913, 5.19306e-05, 0.00451445, 5.4727e-05, 0.00408493, 5.62143e-05, 0.00369625, 5.65581e-05, 0.00334453, 5.59156e-05, 0.00302626, 5.44331e-05, 0.00273825, 5.22437e-05, 0.00247762, 4.95732e-05, 0.00224177, 4.69673e-05, 0.00202834, 4.44827e-05, 0.00183519, 4.21133e-05, 0.00166039, 3.98537e-05, 0.0015022, 3.76986e-05, 0.00135902, 3.56427e-05, 0.00122944, 3.36813e-05, 0.00111216, 3.18098e-05, 0.00100599, 3.00237e-05, 0.000909886, 2.83189e-05, 0.000822879, 2.66912e-05, 0.000744101, 2.51368e-05, 0.000672764, 2.36522e-05, 0.000608155, 2.22337e-05, 0.000549627, 2.0878e-05, 0.000496596, 1.9582e-05, 0.00044853, 1.83424e-05, 0.00040495, 1.71565e-05, 0.000365419, 1.60215e-05, 0.000329543, 1.49345e-05, 0.000296962, 1.38931e-05, 0.00026735, 1.28948e-05, 0.000240412, 1.19372e-05, 0.000215879, 1.10181e-05, 0.000193504, 1.01353e-05, 0.000173064, 9.28678e-06, 0.000154354, 8.47043e-06, 0.000137189, 7.68438e-06, 0.000121395, 6.92676e-06, 0.000106815, 6.19579e-06, 9.33029e-05, 5.48975e-06, 8.07241e-05, 4.80699e-06, 6.89525e-05, 4.14588e-06, 5.78705e-05, 3.50489e-06, 4.73672e-05, 2.8825e-06, 3.73375e-05, 2.27727e-06, 2.76813e-05, 1.68776e-06, 1.83018e-05, 1.1126e-06, 9.10538e-06, 5.50403e-07
-0.380514, 9.63245e-06, -2.60512e-05, 0.168293, 3.68055e-05, 0.00858369, 3.68055e-05, -0.00451219, -3.55825e-06, -2.2144e-05, -0.376001, 1.31907e-05, -3.90717e-06, 0.159709, 0, 0.00858369, 3.68055e-05, 0.00776709, 4.20318e-05, 0.00702816, 4.57993e-05, 0.00635951, 4.82569e-05, 0.00575445, 4.95546e-05, 0.00520694, 4.98396e-05, 0.0047115, 4.92522e-05, 0.00426318, 4.79231e-05, 0.00385749, 4.59717e-05, 0.00349037, 4.35986e-05, 0.00315816, 4.12843e-05, 0.00285752, 3.90786e-05, 0.00258547, 3.69762e-05, 0.00233926, 3.49722e-05, 0.00211645, 3.30618e-05, 0.00191481, 3.12406e-05, 0.00173231, 2.95042e-05, 0.00156714, 2.78484e-05, 0.00141764, 2.62695e-05, 0.00128231, 2.47636e-05, 0.00115981, 2.33271e-05, 0.0010489, 2.19568e-05, 0.000948485, 2.06492e-05, 0.000857554, 1.94014e-05, 0.000775198, 1.82104e-05, 0.000700595, 1.70733e-05, 0.000632997, 1.59874e-05, 0.000571729, 1.49502e-05, 0.000516179, 1.39592e-05, 0.00046579, 1.3012e-05, 0.000420059, 1.21065e-05, 0.000378529, 1.12404e-05, 0.000340784, 1.04118e-05, 0.000306447, 9.61856e-06, 0.000275175, 8.8589e-06, 0.000246654, 8.13099e-06, 0.0002206, 7.43312e-06, 0.000196751, 6.76364e-06, 0.000174871, 6.12095e-06, 0.000154738, 5.50353e-06, 0.000136154, 4.90994e-06, 0.000118931, 4.33876e-06, 0.000102897, 3.78864e-06, 8.78919e-05, 3.2583e-06, 7.3766e-05, 2.74649e-06, 6.03777e-05, 2.25199e-06, 4.75932e-05, 1.77365e-06, 3.52846e-05, 1.31035e-06, 2.33288e-05, 8.61002e-07, 1.16064e-05, 4.24504e-07
-0.375148, 8.99327e-06, -2.50975e-05, 0.206119, 4.13109e-05, 0.0150884, 4.13109e-05, -0.00793152, -4.16311e-06, -2.11903e-05, -0.367216, 1.31564e-05, -3.90717e-06, 0.19103, 0, 0.0150884, 4.13109e-05, 0.013653, 4.50157e-05, 0.0123541, 4.74319e-05, 0.0111787, 4.87067e-05, 0.0101152, 4.89849e-05, 0.00915276, 4.84048e-05, 0.00828188, 4.70954e-05, 0.00749381, 4.51744e-05, 0.00678069, 4.28395e-05, 0.00613537, 4.0563e-05, 0.0055514, 3.83937e-05, 0.00502295, 3.63265e-05, 0.00454473, 3.43565e-05, 0.00411196, 3.2479e-05, 0.0037203, 3.06895e-05, 0.00336585, 2.8984e-05, 0.00304506, 2.73582e-05, 0.00275472, 2.58084e-05, 0.00249192, 2.43309e-05, 0.00225404, 2.29221e-05, 0.00203871, 2.15788e-05, 0.00184376, 2.02977e-05, 0.00166725, 1.90758e-05, 0.00150741, 1.79103e-05, 0.00136264, 1.67982e-05, 0.00123151, 1.57371e-05, 0.00111268, 1.47243e-05, 0.00100499, 1.37575e-05, 0.000907339, 1.28344e-05, 0.000818766, 1.19527e-05, 0.00073838, 1.11105e-05, 0.000665378, 1.03056e-05, 0.000599031, 9.53612e-06, 0.000538673, 8.80033e-06, 0.000483702, 8.09642e-06, 0.000433568, 7.42274e-06, 0.00038777, 6.77768e-06, 0.000345849, 6.15971e-06, 0.000307387, 5.56737e-06, 0.000271999, 4.99925e-06, 0.000239331, 4.45401e-06, 0.000209056, 3.93036e-06, 0.000180872, 3.42706e-06, 0.000154496, 2.94292e-06, 0.000129666, 2.47681e-06, 0.000106132, 2.02763e-06, 8.36592e-05, 1.59432e-06, 6.20232e-05, 1.17586e-06, 4.10074e-05, 7.71282e-07, 2.04017e-05, 3.79575e-07
-0.368419, 8.74032e-06, -2.50975e-05, 0.240192, 4.62542e-05, 0.0217914, 4.62542e-05, -0.0114551, -4.376e-06, -2.11903e-05, -0.356964, 1.31163e-05, -3.90717e-06, 0.2184, 0, 0.0217914, 4.62542e-05, 0.0197183, 4.87414e-05, 0.0178424, 5.00565e-05, 0.0161449, 5.03478e-05, 0.0146088, 4.97572e-05, 0.0132189, 4.84169e-05, 0.0119611, 4.64481e-05, 0.0108229, 4.40537e-05, 0.00979301, 4.17192e-05, 0.00886101, 3.94949e-05, 0.00801761, 3.73754e-05, 0.0072544, 3.53558e-05, 0.00656373, 3.34314e-05, 0.00593869, 3.15974e-05, 0.00537305, 2.98497e-05, 0.00486113, 2.8184e-05, 0.00439782, 2.65964e-05, 0.0039785, 2.50832e-05, 0.00359895, 2.36408e-05, 0.0032554, 2.22656e-05, 0.0029444, 2.09546e-05, 0.00266285, 1.97044e-05, 0.00240792, 1.85123e-05, 0.00217707, 1.73753e-05, 0.001968, 1.62908e-05, 0.0017786, 1.52562e-05, 0.00160699, 1.42689e-05, 0.00145145, 1.33268e-05, 0.00131042, 1.24274e-05, 0.0011825, 1.15688e-05, 0.00106641, 1.07488e-05, 0.000960973, 9.96545e-06, 0.00086515, 9.21696e-06, 0.000777978, 8.50153e-06, 0.000698587, 7.81746e-06, 0.000626181, 7.16311e-06, 0.000560037, 6.53694e-06, 0.000499493, 5.93745e-06, 0.000443944, 5.36323e-06, 0.000392835, 4.81292e-06, 0.000345654, 4.2852e-06, 0.000301929, 3.77884e-06, 0.000261224, 3.29264e-06, 0.000223131, 2.82544e-06, 0.00018727, 2.37615e-06, 0.000153281, 1.94371e-06, 0.000120825, 1.5271e-06, 8.9577e-05, 1.12535e-06, 5.9225e-05, 7.37519e-07, 2.94652e-05, 3.62632e-07
-0.349544, 7.00603e-06, -2.17597e-05, 0.249621, 4.3619e-05, 0.00780227, 4.3619e-05, -0.00410142, -6.06527e-06, -1.78525e-05, -0.345442, 1.30713e-05, -3.90717e-06, 0.241819, 0, 0.00780227, 4.3619e-05, 0.00706001, 4.47794e-05, 0.00638835, 4.50186e-05, 0.00578057, 4.44652e-05, 0.0052306, 4.32398e-05, 0.00473293, 4.14529e-05, 0.00428259, 3.92878e-05, 0.00387508, 3.71782e-05, 0.00350632, 3.51689e-05, 0.00317262, 3.32551e-05, 0.00287065, 3.14324e-05, 0.00259739, 2.96963e-05, 0.0023501, 2.80427e-05, 0.00212631, 2.64678e-05, 0.00192378, 2.49677e-05, 0.00174049, 2.3539e-05, 0.00157461, 2.21781e-05, 0.00142447, 2.08819e-05, 0.00128858, 1.96472e-05, 0.00116557, 1.84712e-05, 0.00105422, 1.7351e-05, 0.000953414, 1.6284e-05, 0.00086214, 1.52675e-05, 0.000779486, 1.42993e-05, 0.000704628, 1.33769e-05, 0.000636816, 1.24982e-05, 0.000575372, 1.16611e-05, 0.000519682, 1.08635e-05, 0.000469188, 1.01036e-05, 0.000423387, 9.3795e-06, 0.000381819, 8.68955e-06, 0.00034407, 8.03206e-06, 0.000309761, 7.40547e-06, 0.00027855, 6.80829e-06, 0.000250124, 6.23907e-06, 0.0002242, 5.69647e-06, 0.000200517, 5.17918e-06, 0.00017884, 4.68599e-06, 0.000158951, 4.2157e-06, 0.000140652, 3.7672e-06, 0.000123759, 3.33943e-06, 0.000108104, 2.93136e-06, 9.35296e-05, 2.54204e-06, 7.98907e-05, 2.17053e-06, 6.70507e-05, 1.81595e-06, 5.48812e-05, 1.47748e-06, 4.32605e-05, 1.15431e-06, 3.20724e-05, 8.45683e-07, 2.12051e-05, 5.50878e-07, 1.05498e-05, 2.69138e-07
