pose_x [m], pose_y [m], pose_theta [rad], v [m/s], delta [rad], v_opt [m/s], delta_opt [rad], x_e, y_e, theta_e, x_ref, y_ref, theta_ref, v_k [m/s], delta_k [rad], v_k+1 [m/s], delta_k+1 [rad], v_k+2 [m/s], delta_k+2 [rad], v_k+3 [m/s], delta_k+3 [rad], v_k+4 [m/s], delta_k+4 [rad], v_k+5 [m/s], delta_k+5 [rad], v_k+6 [m/s], delta_k+6 [rad], v_k+7 [m/s], delta_k+7 [rad], v_k+8 [m/s], delta_k+8 [rad], v_k+9 [m/s], delta_k+9 [rad], v_k+10 [m/s], delta_k+10 [rad], v_k+11 [m/s], delta_k+11 [rad], v_k+12 [m/s], delta_k+12 [rad], v_k+13 [m/s], delta_k+13 [rad], v_k+14 [m/s], delta_k+14 [rad], v_k+15 [m/s], delta_k+15 [rad], v_k+16 [m/s], delta_k+16 [rad], v_k+17 [m/s], delta_k+17 [rad], v_k+18 [m/s], delta_k+18 [rad], v_k+19 [m/s], delta_k+19 [rad], v_k+20 [m/s], delta_k+20 [rad], v_k+21 [m/s], delta_k+21 [rad], v_k+22 [m/s], delta_k+22 [rad], v_k+23 [m/s], delta_k+23 [rad], v_k+24 [m/s], delta_k+24 [rad], v_k+25 [m/s], delta_k+25 [rad], v_k+26 [m/s], delta_k+26 [rad], v_k+27 [m/s], delta_k+27 [rad], v_k+28 [m/s], delta_k+28 [rad], v_k+29 [m/s], delta_k+29 [rad], v_k+30 [m/s], delta_k+30 [rad], v_k+31 [m/s], delta_k+31 [rad], v_k+32 [m/s], delta_k+32 [rad], v_k+33 [m/s], delta_k+33 [rad], v_k+34 [m/s], delta_k+34 [rad], v_k+35 [m/s], delta_k+35 [rad], v_k+36 [m/s], delta_k+36 [rad], v_k+37 [m/s], delta_k+37 [rad], v_k+38 [m/s], delta_k+38 [rad], v_k+39 [m/s], delta_k+39 [rad]
-0.400162, 1.53892e-05, -3.8449e-05, 0.706879, -1.07366e-12, 0.706879, -1.07366e-12, -0.400162, 1.53892e-05, -3.8449e-05, 0, 0, 0, 0.706879, -1.07366e-12, 0.675269, 6.79754e-07, 0.580421, 2.60726e-06, 0.465062, 5.62061e-06, 0.410904, 9.56843e-06, 0.406855, 1.43129e-05, 0.406909, 1.97319e-05, 0.406824, 2.57205e-05, 0.40691, 3.21922e-05, 0.406862, 3.89997e-05, 0.813724, 4.47759e-05, 0.625655, 4.91563e-05, 0.456879, 5.22682e-05, 0.333404, 5.42238e-05, 0.243319, 5.51248e-05, 0.177583, 5.50647e-05, 0.129611, 5.41313e-05, 0.0945976, 5.24089e-05, 0.0690421, 5.00903e-05, 0.0503901, 4.77213e-05, 0.036777, 4.53647e-05, 0.0268415, 4.30205e-05, 0.0195901, 4.06884e-05, 0.0142977, 3.83682e-05, 0.0104349, 3.60594e-05, 0.00761561, 3.37614e-05, 0.00555785, 3.14736e-05, 0.00405585, 2.91953e-05, 0.00295942, 2.69258e-05, 0.00215893, 2.46641e-05, 0.00157433, 2.24094e-05, 0.00114716, 2.01607e-05, 0.0008347, 1.79168e-05, 0.000605713, 1.56767e-05, 0.000437298, 1.34392e-05, 0.000312613, 1.12032e-05, 0.000219188, 8.96732e-06, 0.000147691, 6.7304e-06, 9.09401e-05, 4.4911e-06, 4.33097e-05, 2.24808e-06
-0.372029, 5.13749e-06, -2.17597e-05, -0.149002, 7.20138e-07, -0.150978, 7.20138e-07, 0.0279426, -1.0627e-05, -1.63236e-05, -0.399972, 1.57645e-05, -5.43609e-06, -0.150978, 7.20138e-07, -0.11019, 2.82682e-06, -0.0804216, 6.2331e-06, -0.0586952, 1.08316e-05, -0.0428383, 1.64892e-05, -0.0312652, 2.30413e-05, -0.0228187, 3.02876e-05, -0.0166541, 3.79906e-05, -0.0121549, 4.57843e-05, -0.00887115, 5.19181e-05, -0.00647456, 5.59324e-05, -0.00472542, 5.80241e-05, -0.00344883, 5.84266e-05, -0.00251711, 5.73943e-05, -0.00183711, 5.51891e-05, -0.00134081, 5.20691e-05, -0.000978587, 4.82789e-05, -0.000714222, 4.41315e-05, -0.000521275, 4.01569e-05, -0.000380453, 3.64059e-05, -0.000277675, 3.28715e-05, -0.000202661, 2.95473e-05, -0.000147913, 2.64269e-05, -0.000107954, 2.35045e-05, -7.87894e-05, 2.07746e-05, -5.75029e-05, 1.82318e-05, -4.19661e-05, 1.58713e-05, -3.06254e-05, 1.36885e-05, -2.23468e-05, 1.16793e-05, -1.63025e-05, 9.83959e-06, -1.18883e-05, 8.16593e-06, -8.66278e-06, 6.65501e-06, -6.30339e-06, 5.30389e-06, -4.57425e-06, 4.10996e-06, -3.30247e-06, 3.0709e-06, -2.36089e-06, 2.18474e-06, -1.65538e-06, 1.44981e-06, -1.11539e-06, 8.6475e-07, -6.86982e-07, 4.28526e-07, -3.27391e-07, 1.40635e-07
-0.377989, 6.5766e-06, -2.31902e-05, -0.109627, 2.90005e-06, -0.11753, 2.90005e-06, 0.0217522, -9.18667e-06, -1.77541e-05, -0.399741, 1.57633e-05, -5.43609e-06, -0.11753, 2.90005e-06, -0.0857785, 6.38847e-06, -0.0626049, 1.10946e-05, -0.0456918, 1.68823e-05, -0.0333479, 2.35864e-05, -0.0243387, 3.10082e-05, -0.0177634, 3.89138e-05, -0.0129645, 4.69403e-05, -0.00946206, 5.33012e-05, -0.00690583, 5.7524e-05, -0.00504018, 5.9805e-05, -0.00367854, 6.03748e-05, -0.00268477, 5.94844e-05, -0.00195947, 5.73916e-05, -0.00143011, 5.43504e-05, -0.00104376, 5.06023e-05, -0.00076179, 4.64628e-05, -0.000555992, 4.24846e-05, -0.000405791, 3.87216e-05, -0.000296167, 3.5167e-05, -0.000216158, 3.18143e-05, -0.000157764, 2.86575e-05, -0.000115144, 2.56907e-05, -8.40377e-05, 2.29085e-05, -6.13343e-05, 2.03056e-05, -4.47637e-05, 1.78772e-05, -3.26689e-05, 1.56187e-05, -2.38406e-05, 1.35259e-05, -1.7396e-05, 1.15948e-05, -1.26909e-05, 9.82172e-06, -9.25457e-06, 8.20332e-06, -6.74362e-06, 6.73654e-06, -4.90693e-06, 5.41862e-06, -3.56087e-06, 4.2471e-06, -2.57084e-06, 3.21979e-06, -1.83786e-06, 2.33483e-06, -1.28864e-06, 1.59063e-06, -8.68287e-07, 9.85908e-07, -5.34787e-07, 5.1965e-07, -2.5486e-07, 1.91304e-07
-0.383165, -2.42197e-05, -1.93755e-05, -0.0684035, 1.35138e-05, -0.0861851, 1.35138e-05, 0.015951, -3.99796e-05, -1.39394e-05, -0.399116, 1.57599e-05, -5.43609e-06, -0.0861851, 1.35138e-05, -0.0629017, 2.36658e-05, -0.0459084, 3.62705e-05, -0.033506, 5.09544e-05, -0.0244541, 6.72276e-05, -0.0178477, 8.44742e-05, -0.013026, 0.000101751, -0.00950692, 0.000115063, -0.00693856, 0.000123354, -0.00506407, 0.000127078, -0.00369598, 0.000126815, -0.00269749, 0.000123211, -0.00196875, 0.000116947, -0.00143688, 0.000108698, -0.00104871, 9.91075e-05, -0.000765396, 8.8931e-05, -0.000558623, 7.92795e-05, -0.000407711, 7.02507e-05, -0.000297568, 6.1824e-05, -0.000217181, 5.39802e-05, -0.00015851, 4.67007e-05, -0.000115689, 3.99683e-05, -8.44355e-05, 3.37665e-05, -6.16251e-05, 2.80801e-05, -4.49766e-05, 2.28947e-05, -3.28253e-05, 1.81969e-05, -2.39562e-05, 1.39742e-05, -1.74824e-05, 1.02152e-05, -1.27566e-05, 6.90934e-06, -9.30624e-06, 4.04709e-06, -6.78641e-06, 1.61972e-06, -4.94512e-06, -3.80506e-07, -3.59827e-06, -1.96046e-06, -2.6112e-06, -3.12608e-06, -1.8852e-06, -3.88246e-06, -1.34771e-06, -4.23378e-06, -9.44966e-07, -4.18334e-06, -6.36718e-07, -3.73358e-06, -3.92161e-07, -2.8861e-06, -1.8689e-07, -1.64133e-06
-0.389392, -3.28414e-05, 1.62249e-05, -0.014346, 1.35754e-05, -0.0459576, 1.35754e-05, 0.00850574, -4.85947e-05, 2.1661e-05, -0.397897, 1.57532e-05, -5.43609e-06, -0.0459576, 1.35754e-05, -0.0335419, 2.11196e-05, -0.0244803, 3.00082e-05, -0.0178668, 3.98725e-05, -0.01304, 5.02102e-05, -0.00951714, 6.02652e-05, -0.00694602, 6.75193e-05, -0.0050695, 7.13054e-05, -0.00369994, 7.19351e-05, -0.00270038, 6.98466e-05, -0.00197085, 6.55572e-05, -0.00143842, 5.96217e-05, -0.00104982, 5.25972e-05, -0.000766209, 4.50154e-05, -0.000559215, 3.74158e-05, -0.000408142, 3.03429e-05, -0.000297882, 2.38305e-05, -0.000217409, 1.78593e-05, -0.000158676, 1.24108e-05, -0.00011581, 7.46767e-06, -8.45242e-05, 3.01371e-06, -6.16902e-05, -9.66393e-07, -4.50246e-05, -4.48692e-06, -3.28612e-05, -7.56118e-06, -2.39835e-05, -1.02015e-05, -1.75039e-05, -1.24193e-05, -1.27745e-05, -1.4225e-05, -9.32236e-06, -1.56282e-05, -6.80235e-06, -1.66375e-05, -4.96249e-06, -1.72607e-05, -3.61881e-06, -1.75047e-05, -2.63695e-06, -1.73754e-05, -1.91875e-06, -1.68782e-05, -1.3924e-06, -1.60172e-05, -1.00527e-06, -1.47961e-05, -7.18656e-07, -1.32175e-05, -5.03897e-07, -1.12832e-05, -3.39526e-07, -8.99447e-06, -2.09117e-07, -6.35145e-06, -9.96577e-08, -3.35358e-06
-0.389962, -3.12284e-05, 1.21971e-05, 0.0173692, 2.34908e-05, -0.0320239, 2.34908e-05, 0.00592692, -4.69707e-05, 1.76332e-05, -0.395889, 1.57423e-05, -5.43609e-06, -0.0320239, 2.34908e-05, -0.0233725, 3.33119e-05, -0.0170583, 4.42239e-05, -0.0124499, 5.57026e-05, -0.00908645, 6.69592e-05, -0.00663168, 7.5232e-05, -0.00484009, 7.97837e-05, -0.0035325, 8.09441e-05, -0.00257817, 7.91702e-05, -0.00188166, 7.49991e-05, -0.00137332, 6.90058e-05, -0.00100231, 6.17679e-05, -0.000731532, 5.38373e-05, -0.000533905, 4.57914e-05, -0.000389669, 3.82673e-05, -0.000284399, 3.1309e-05, -0.000207568, 2.48965e-05, -0.000151494, 1.90109e-05, -0.000110568, 1.36344e-05, -8.06981e-05, 8.75008e-06, -5.88977e-05, 4.34211e-06, -4.29866e-05, 3.95651e-07, -3.13738e-05, -3.1032e-06, -2.28981e-05, -6.16738e-06, -1.6712e-05, -8.80892e-06, -1.2197e-05, -1.10389e-05, -8.90144e-06, -1.28675e-05, -6.49596e-06, -1.43041e-05, -4.73998e-06, -1.53571e-05, -3.45794e-06, -1.6034e-05, -2.52164e-06, -1.63416e-05, -1.83747e-06, -1.62857e-05, -1.33702e-06, -1.58715e-05, -9.70246e-07, -1.51032e-05, -7.00488e-07, -1.39842e-05, -5.0077e-07, -1.25172e-05, -3.51123e-07, -1.0704e-05, -2.36586e-07, -8.54576e-06, -1.45716e-07, -6.04275e-06, -6.94429e-08, -3.19453e-06
-0.3899, -3.10879e-05, 1.18629e-05, 0.05496, 3.48804e-05, -0.016166, 3.48804e-05, 0.00299198, -4.6814e-05, 1.72989e-05, -0.392892, 1.5726e-05, -5.43609e-06, -0.016166, 3.48804e-05, -0.0117987, 4.63088e-05, -0.0086112, 5.83547e-05, -0.00628483, 7.02029e-05, -0.00458694, 7.89673e-05, -0.00334775, 8.38728e-05, -0.00244333, 8.52566e-05, -0.00178325, 8.35867e-05, -0.00130149, 7.94131e-05, -0.000949884, 7.33248e-05, -0.000693267, 6.59148e-05, -0.000505977, 5.77501e-05, -0.000369285, 4.94302e-05, -0.000269521, 4.16345e-05, -0.000196709, 3.44109e-05, -0.000143568, 2.77388e-05, -0.000104783, 2.15987e-05, -7.64758e-05, 1.59723e-05, -5.58159e-05, 1.08419e-05, -4.07373e-05, 6.19135e-06, -2.97322e-05, 2.00504e-06, -2.17001e-05, -1.73149e-06, -1.58379e-05, -5.03178e-06, -1.15592e-05, -7.90844e-06, -8.43642e-06, -1.03732e-05, -6.15716e-06, -1.24367e-05, -4.49355e-06, -1.41091e-05, -3.27923e-06, -1.53992e-05, -2.39279e-06, -1.63154e-05, -1.7456e-06, -1.68649e-05, -1.27295e-06, -1.70543e-05, -9.27573e-07, -1.68892e-05, -6.7494e-07, -1.63745e-05, -4.89791e-07, -1.55143e-05, -3.53614e-07, -1.4312e-05, -2.52794e-07, -1.277e-05, -1.77251e-07, -1.089e-05, -1.19431e-07, -8.67321e-06, -7.35591e-08, -6.1197e-06, -3.50556e-08, -3.2291e-06
-0.389204, -3.12583e-05, 1.22241e-05, 0.0994808, 4.80966e-05, 0.0026703, 4.80966e-05, -0.000494214, -4.69616e-05, 1.76602e-05, -0.38871, 1.57033e-05, -5.43609e-06, 0.0026703, 4.80966e-05, 0.0019489, 6.06302e-05, 0.0014224, 7.29877e-05, 0.00103813, 8.21704e-05, 0.00075767, 8.73691e-05, 0.00055298, 8.8928e-05, 0.000403589, 8.73252e-05, 0.000294556, 8.31231e-05, 0.00021498, 7.69252e-05, 0.000156902, 6.93393e-05, 0.000114514, 6.09478e-05, 8.35772e-05, 5.23708e-05, 6.09985e-05, 4.43223e-05, 4.45195e-05, 3.68535e-05, 3.24924e-05, 2.9943e-05, 2.37145e-05, 2.3571e-05, 1.7308e-05, 1.77182e-05, 1.26322e-05, 1.23666e-05, 9.21966e-06, 7.49911e-06, 6.72898e-06, 3.09976e-06, 4.91116e-06, -8.46597e-07, 3.58442e-06, -4.3541e-06, 2.61609e-06, -7.43596e-06, 1.90935e-06, -1.01045e-05, 1.39353e-06, -1.23711e-05, 1.01704e-06, -1.42462e-05, 7.42243e-07, -1.57395e-05, 5.41663e-07, -1.68599e-05, 3.95241e-07, -1.76152e-05, 2.88339e-07, -1.80125e-05, 2.10266e-07, -1.80582e-05, 1.53216e-07, -1.77578e-05, 1.11486e-07, -1.71159e-05, 8.09036e-08, -1.61365e-05, 5.84099e-08, -1.48228e-05, 4.17565e-08, -1.3177e-05, 2.92782e-08, -1.1201e-05, 1.97277e-08, -8.89541e-06, 1.21505e-08, -6.26056e-06, 5.79047e-09, -3.29597e-06
-0.383037, -3.12227e-05, 1.07706e-05, 0.125863, 6.54729e-05, -0.00058339, 6.54729e-05, 0.000107972, -4.68957e-05, 1.62067e-05, -0.383145, 1.5673e-05, -5.43609e-06, -0.00058339, 6.54729e-05, -0.000425784, 7.88809e-05, -0.000310756, 8.89345e-05, -0.000226803, 9.47565e-05, -0.000165531, 9.67086e-05, -0.000120811, 9.52904e-05, -8.81733e-05, 9.10886e-05, -6.43527e-05, 8.47322e-05, -4.69674e-05, 7.68555e-05, -3.42788e-05, 6.80664e-05, -2.50182e-05, 5.90233e-05, -1.82594e-05, 5.05164e-05, -1.33265e-05, 4.26043e-05, -9.72632e-06, 3.52652e-05, -7.09873e-06, 2.8478e-05, -5.18099e-06, 2.22229e-05, -3.78134e-06, 1.64809e-05, -2.75981e-06, 1.12343e-05, -2.01425e-06, 6.46612e-06, -1.4701e-06, 2.16057e-06, -1.07296e-06, -1.6973e-06, -7.831e-07, -5.12147e-06, -5.71547e-07, -8.12499e-06, -4.17143e-07, -1.072e-05, -3.04448e-07, -1.29178e-05, -2.22196e-07, -1.47287e-05, -1.6216e-07, -1.61622e-05, -1.18339e-07, -1.72271e-05, -8.63497e-08, -1.79311e-05, -6.29943e-08, -1.82812e-05, -4.59374e-08, -1.82838e-05, -3.34737e-08, -1.79441e-05, -2.43568e-08, -1.72669e-05, -1.76753e-08, -1.62559e-05, -1.2761e-08, -1.49143e-05, -9.12268e-09, -1.32443e-05, -6.39651e-09, -1.12476e-05, -4.30997e-09, -8.92511e-06, -2.65455e-09, -6.27683e-06, -1.26506e-09, -3.30239e-06
-0.378008, -3.06243e-05, 7.78913e-06, 0.170554, 8.6862e-05, 0.0108455, 8.6862e-05, -0.00200727, -4.62585e-05, 1.32252e-05, -0.376001, 1.56342e-05, -5.43609e-06, 0.0108455, 8.6862e-05, 0.00791555, 9.8101e-05, 0.00577712, 0.000104792, 0.00421639, 0.000107316, 0.00307731, 0.000106202, 0.00224595, 0.000102064, 0.00163919, 9.55635e-05, 0.00119635, 8.73638e-05, 0.000873149, 7.81034e-05, 0.000637262, 6.84888e-05, 0.000465102, 5.94165e-05, 0.000339452, 5.09565e-05, 0.000247748, 4.30857e-05, 0.000180818, 3.57825e-05, 0.000131969, 2.90261e-05, 9.63174e-05, 2.27969e-05, 7.02972e-05, 1.70761e-05, 5.13064e-05, 1.1846e-05, 3.7446e-05, 7.09009e-06, 2.733e-05, 2.79254e-06, 1.99469e-05, -1.0614e-06, 1.45583e-05, -4.48558e-06, 1.06254e-05, -7.4929e-06, 7.75491e-06, -1.00954e-05, 5.65986e-06, -1.23043e-05, 4.13074e-06, -1.41297e-05, 3.01465e-06, -1.55812e-05, 2.19998e-06, -1.66674e-05, 1.60529e-06, -1.73959e-05, 1.1711e-06, -1.77738e-05, 8.54002e-07, -1.78073e-05, 6.22294e-07, -1.75016e-05, 4.52807e-07, -1.68614e-05, 3.28593e-07, -1.58905e-05, 2.37234e-07, -1.45919e-05, 1.69596e-07, -1.29681e-05, 1.18915e-07, -1.10206e-05, 8.01246e-08, -8.75026e-06, 4.93496e-08, -6.15718e-06, 2.35182e-08, -3.24106e-06
-0.371162, -3.74786e-05, 2.26081e-05, 0.212352, 8.98389e-05, 0.0213214, 8.98389e-05, -0.00394612, -5.3065e-05, 2.80442e-05, -0.367216, 1.55865e-05, -5.43609e-06, 0.0213214, 8.98389e-05, 0.0155613, 9.54705e-05, 0.0113573, 9.70548e-05, 0.00828906, 9.51151e-05, 0.00604972, 9.02782e-05, 0.00441534, 8.32213e-05, 0.00322251, 7.46306e-05, 0.00235192, 6.51657e-05, 0.00171654, 5.55219e-05, 0.0012528, 4.64688e-05, 0.000914351, 3.80588e-05, 0.000667334, 3.02672e-05, 0.00048705, 2.30704e-05, 0.000355472, 1.64458e-05, 0.00025944, 1.03722e-05, 0.000189352, 4.82938e-06, 0.000138198, -2.01775e-07, 0.000100864, -4.73931e-06, 7.36156e-05, -8.80022e-06, 5.37284e-05, -1.24005e-05, 3.92138e-05, -1.55551e-05, 2.86203e-05, -1.8278e-05, 2.08886e-05, -2.05822e-05, 1.52455e-05, -2.24799e-05, 1.11268e-05, -2.39822e-05, 8.12069e-06, -2.50993e-05, 5.92654e-06, -2.58406e-05, 4.32498e-06, -2.62145e-05, 3.15586e-06, -2.62288e-05, 2.30228e-06, -2.58901e-05, 1.67889e-06, -2.52044e-05, 1.22338e-06, -2.41768e-05, 8.90179e-07, -2.28117e-05, 6.45986e-07, -2.11125e-05, 4.66382e-07, -1.9082e-05, 3.3341e-07, -1.67222e-05, 2.33776e-07, -1.40343e-05, 1.57518e-07, -1.10188e-05, 9.70171e-08, -7.67535e-06, 4.62348e-08, -4.00322e-06
-0.362911, -2.08956e-05, -1.98523e-05, 0.250531, 0.000154527, 0.0321307, 0.000154527, -0.00594668, -3.64264e-05, -1.44162e-05, -0.356964, 1.55307e-05, -5.43609e-06, 0.0321307, 0.000154527, 0.0234504, 0.000160387, 0.0171151, 0.000161446, 0.0124914, 0.000158419, 0.00911674, 0.000152062, 0.00665379, 0.00014313, 0.00485622, 0.000132349, 0.00354428, 0.000120622, 0.00258677, 0.000109407, 0.00188794, 9.8839e-05, 0.0013779, 8.88935e-05, 0.00100565, 7.9548e-05, 0.00073397, 7.07808e-05, 0.000535685, 6.25712e-05, 0.000390968, 5.48995e-05, 0.000285347, 4.77466e-05, 0.00020826, 4.10948e-05, 0.000151999, 3.49269e-05, 0.000110936, 2.92269e-05, 8.09671e-05, 2.39795e-05, 5.9094e-05, 1.91703e-05, 4.31299e-05, 1.47859e-05, 3.14784e-05, 1.08134e-05, 2.29745e-05, 7.241e-06, 1.67678e-05, 4.05771e-06, 1.22376e-05, 1.25322e-06, 8.93112e-06, -1.18192e-06, 6.51761e-06, -3.2564e-06, 4.75578e-06, -4.97814e-06, 3.46946e-06, -6.35431e-06, 2.53004e-06, -7.39132e-06, 1.84359e-06, -8.09483e-06, 1.34147e-06, -8.4698e-06, 9.73481e-07, -8.52044e-06, 7.02824e-07, -8.25026e-06, 5.02439e-07, -7.66206e-06, 3.52293e-07, -6.75794e-06, 2.37375e-07, -5.53929e-06, 1.46202e-07, -4.00683e-06, 6.96744e-08, -2.16085e-06
-0.354427, -1.55897e-05, -2.89122e-05, 0.290366, 0.000174818, 0.0485471, 0.000174818, -0.008985, -3.10578e-05, -2.34761e-05, -0.345442, 1.54681e-05, -5.43609e-06, 0.0485471, 0.000174818, 0.0354318, 0.000176748, 0.0258597, 0.000174349, 0.0188735, 0.000168377, 0.0137747, 0.00015959, 0.0100534, 0.000148715, 0.0073374, 0.000136692, 0.00535515, 0.000125145, 0.00390842, 0.000114229, 0.00285253, 0.000103921, 0.0020819, 9.41989e-05, 0.00151947, 8.50414e-05, 0.00110898, 7.64283e-05, 0.000809381, 6.83405e-05, 0.000590725, 6.07594e-05, 0.000431139, 5.36675e-05, 0.000314666, 4.70481e-05, 0.000229659, 4.08852e-05, 0.000167617, 3.51637e-05, 0.000122335, 2.98693e-05, 8.92868e-05, 2.49885e-05, 6.51661e-05, 2.05086e-05, 4.75616e-05, 1.64177e-05, 3.47128e-05, 1.27045e-05, 2.53349e-05, 9.35851e-06, 1.84902e-05, 6.37012e-06, 1.34943e-05, 3.73032e-06, 9.84764e-06, 1.43082e-06, 7.18564e-06, -5.35926e-07, 5.24211e-06, -2.17678e-06, 3.82271e-06, -3.49791e-06, 2.78553e-06, -4.50479e-06, 2.02687e-06, -5.20223e-06, 1.47086e-06, -5.59437e-06, 1.06192e-06, -5.68466e-06, 7.59149e-07, -5.47594e-06, 5.32289e-07, -4.97034e-06, 3.58656e-07, -4.1694e-06, 2.209e-07, -3.07396e-06, 1.05273e-07, -1.68452e-06
-0.332789, -1.30917e-05, -3.8449e-05, 0.260966, 0.000204741, -0.000319832, 0.000204741, 5.91937e-05, -2.84914e-05, -3.30129e-05, -0.332848, 1.53996e-05, -5.43609e-06, -0.000319832, 0.000204741, -0.000233427, 0.000202788, -0.000170366, 0.000196766, -0.00012434, 0.000187487, -9.07489e-05, 0.000175731, -6.62324e-05, 0.000162547, -4.83393e-05, 0.00014984, -3.52801e-05, 0.000137795, -2.57489e-05, 0.000126388, -1.87927e-05, 0.000115598, -1.37157e-05, 0.0001054, -1.00104e-05, 9.57758e-05, -7.30601e-06, 8.67036e-05, -5.33226e-06, 7.81643e-05, -3.89173e-06, 7.01393e-05, -2.84037e-06, 6.26111e-05, -2.07304e-06, 5.55628e-05, -1.51301e-06, 4.89782e-05, -1.10427e-06, 4.28422e-05, -8.05954e-07, 3.71403e-05, -5.88227e-07, 3.18589e-05, -4.29319e-07, 2.69851e-05, -3.13339e-07, 2.25066e-05, -2.2869e-07, 1.84122e-05, -1.66908e-07, 1.46912e-05, -1.21814e-07, 1.13337e-05, -8.89012e-08, 8.33053e-06, -6.48769e-08, 5.67319e-06, -4.73395e-08, 3.35394e-06, -3.45354e-08, 1.3657e-06, -2.51843e-08, -2.97902e-07, -1.83513e-08, -1.64255e-06, -1.33531e-08, -2.67326e-06, -9.69012e-09, -3.39437e-06, -6.99597e-09, -3.80956e-06, -5.00133e-09, -3.92186e-06, -3.50676e-09, -3.73362e-06, -2.36285e-09, -3.24656e-06, -1.45531e-09, -2.46175e-06, -6.93546e-10, -1.37986e-06
-0.32233, -9.77723e-06, -4.89394e-05, 0.292743, 0.00023363, 0.0159406, 0.00023363, -0.00295025, -2.51036e-05, -4.35033e-05, -0.319379, 1.53264e-05, -5.43609e-06, 0.0159406, 0.00023363, 0.0116341, 0.000227664, 0.00849111, 0.000217966, 0.00619718, 0.000205367, 0.00452297, 0.000191026, 0.00330106, 0.000177153, 0.00240926, 0.000163969, 0.00175838, 0.000151451, 0.00128334, 0.000139575, 0.000936638, 0.000128317, 0.000683599, 0.000117657, 0.000498921, 0.000107573, 0.000364135, 9.80449e-05, 0.000265763, 8.90537e-05, 0.000193966, 8.0581e-05, 0.000141566, 7.2609e-05, 0.000103322, 6.5121e-05, 7.54093e-05, 5.81009e-05, 5.50375e-05, 5.15334e-05, 4.01692e-05, 4.5404e-05, 2.93176e-05, 3.96991e-05, 2.13975e-05, 3.44057e-05, 1.5617e-05, 2.95115e-05, 1.1398e-05, 2.5005e-05, 8.31877e-06, 2.08756e-05, 6.0713e-06, 1.71131e-05, 4.43088e-06, 1.37082e-05, 3.2335e-06, 1.06524e-05, 2.35943e-06, 7.93763e-06, 1.72126e-06, 5.5567e-06, 1.2552e-06, 3.50305e-06, 9.14638e-07, 1.77079e-06, 6.65528e-07, 3.54713e-07, 4.82961e-07, -7.49736e-07, 3.48683e-07, -1.54644e-06, 2.49269e-07, -2.03865e-06, 1.74779e-07, -2.22893e-06, 1.17766e-07, -2.11922e-06, 7.25333e-08, -1.71082e-06, 3.45667e-08, -1.00464e-06
-0.31189, -1.15733e-05, -4.46478e-05, 0.324334, 0.000235686, 0.0359676, 0.000235686, -0.00665682, -2.68228e-05, -3.92118e-05, -0.305234, 1.52495e-05, -5.43609e-06, 0.0359676, 0.000235686, 0.0262508, 0.000225644, 0.019159, 0.000212598, 0.0139831, 0.00019775, 0.0102054, 0.000183388, 0.00744837, 0.000169742, 0.00543614, 0.000156786, 0.00396753, 0.000144494, 0.00289567, 0.000132844, 0.00211339, 0.000121812, 0.00154244, 0.000111376, 0.00112574, 0.000101516, 0.000821619, 9.22117e-05, 0.000599655, 8.34427e-05, 0.000437657, 7.5191e-05, 0.000319423, 6.7439e-05, 0.00023313, 6.01696e-05, 0.00017015, 5.33669e-05, 0.000124184, 4.70156e-05, 9.0636e-05, 4.11012e-05, 6.61509e-05, 3.56099e-05, 4.82804e-05, 3.05288e-05, 3.52375e-05, 2.58458e-05, 2.5718e-05, 2.15493e-05, 1.87701e-05, 1.76287e-05, 1.3699e-05, 1.40739e-05, 9.99765e-06, 1.08758e-05, 7.29593e-06, 8.02563e-06, 5.3237e-06, 5.51568e-06, 3.88378e-06, 3.33874e-06, 2.83217e-06, 1.48835e-06, 2.06375e-06, -4.12868e-08, 1.50167e-06, -1.25529e-06, 1.08973e-06, -2.1581e-06, 7.86753e-07, -2.75351e-06, 5.62439e-07, -3.04464e-06, 3.94363e-07, -3.03396e-06, 2.65722e-07, -2.7233e-06, 1.63661e-07, -2.11382e-06, 7.79948e-08, -1.20632e-06
