pose_x [m], pose_y [m], pose_theta [rad], v [m/s], delta [rad], v_opt [m/s], delta_opt [rad], x_e, y_e, theta_e, x_ref, y_ref, theta_ref, v_ref [m/s], delta_ref [rad], v_k [m/s], delta_k [rad], v_k+1 [m/s], delta_k+1 [rad], v_k+2 [m/s], delta_k+2 [rad], v_k+3 [m/s], delta_k+3 [rad], v_k+4 [m/s], delta_k+4 [rad], v_k+5 [m/s], delta_k+5 [rad], v_k+6 [m/s], delta_k+6 [rad], v_k+7 [m/s], delta_k+7 [rad], v_k+8 [m/s], delta_k+8 [rad], v_k+9 [m/s], delta_k+9 [rad], v_k+10 [m/s], delta_k+10 [rad], v_k+11 [m/s], delta_k+11 [rad], v_k+12 [m/s], delta_k+12 [rad], v_k+13 [m/s], delta_k+13 [rad], v_k+14 [m/s], delta_k+14 [rad], v_k+15 [m/s], delta_k+15 [rad], v_k+16 [m/s], delta_k+16 [rad], v_k+17 [m/s], delta_k+17 [rad], v_k+18 [m/s], delta_k+18 [rad], v_k+19 [m/s], delta_k+19 [rad], v_k+20 [m/s], delta_k+20 [rad], v_k+21 [m/s], delta_k+21 [rad], v_k+22 [m/s], delta_k+22 [rad], v_k+23 [m/s], delta_k+23 [rad], v_k+24 [m/s], delta_k+24 [rad], v_k+25 [m/s], delta_k+25 [rad], v_k+26 [m/s], delta_k+26 [rad], v_k+27 [m/s], delta_k+27 [rad], v_k+28 [m/s], delta_k+28 [rad], v_k+29 [m/s], delta_k+29 [rad], v_k+30 [m/s], delta_k+30 [rad], v_k+31 [m/s], delta_k+31 [rad], v_k+32 [m/s], delta_k+32 [rad], v_k+33 [m/s], delta_k+33 [rad], v_k+34 [m/s], delta_k+34 [rad], v_k+35 [m/s], delta_k+35 [rad], v_k+36 [m/s], delta_k+36 [rad], v_k+37 [m/s], delta_k+37 [rad], v_k+38 [m/s], delta_k+38 [rad], v_k+39 [m/s], delta_k+39 [rad], v_k+40 [m/s], delta_k+40 [rad], v_k+41 [m/s], delta_k+41 [rad], v_k+42 [m/s], delta_k+42 [rad], v_k+43 [m/s], delta_k+43 [rad], v_k+44 [m/s], delta_k+44 [rad], v_k+45 [m/s], delta_k+45 [rad], v_k+46 [m/s], delta_k+46 [rad], v_k+47 [m/s], delta_k+47 [rad], v_k+48 [m/s], delta_k+48 [rad], v_k+49 [m/s], delta_k+49 [rad]
-0.401691, -5.27123e-08, 1.42235e-07, 0.00320824, 6.34978e-12, 0.00320824, 6.34978e-12, -0.00168648, -1.31809e-06, 1.42235e-07, -0.400004, 1.26538e-06, 0, 1e-10, 0, 0.00320824, 6.34978e-12, 0.00290303, 5.48022e-09, 0.00262685, 2.18886e-08, 0.00237693, 4.91353e-08, 0.00215079, 8.68953e-08, 0.00194615, 1.3454e-07, 0.00176097, 1.91065e-07, 0.00159341, 2.55037e-07, 0.00144177, 3.24539e-07, 0.00130456, 3.96355e-07, 0.00118039, 4.55062e-07, 0.00106803, 4.95992e-07, 0.000966344, 5.20236e-07, 0.000874324, 5.29352e-07, 0.000791046, 5.25217e-07, 0.000715679, 5.09905e-07, 0.000647469, 4.85578e-07, 0.000585734, 4.54385e-07, 0.000529856, 4.19203e-07, 0.000479276, 3.85015e-07, 0.000433489, 3.52352e-07, 0.000392038, 3.21197e-07, 0.000354506, 2.91531e-07, 0.00032052, 2.63337e-07, 0.000289738, 2.36597e-07, 0.000261854, 2.11293e-07, 0.000236589, 1.87409e-07, 0.00021369, 1.64925e-07, 0.000192927, 1.43827e-07, 0.000174094, 1.24098e-07, 0.000157001, 1.0572e-07, 0.000141479, 8.86791e-08, 0.000127372, 7.29583e-08, 0.000114538, 5.85428e-08, 0.000102849, 4.54173e-08, 9.21894e-05, 3.35673e-08, 8.24513e-05, 2.29784e-08, 7.35378e-05, 1.36366e-08, 6.53596e-05, 5.5283e-09, 5.78351e-05, -1.35983e-09, 5.08889e-05, -7.04065e-09, 4.44515e-05, -1.15266e-08, 3.84587e-05, -1.48299e-08, 3.28505e-05, -1.69622e-08, 2.75708e-05, -1.79348e-08, 2.25668e-05, -1.77586e-08, 1.77884e-05, -1.64442e-08, 1.3188e-05, -1.40016e-08, 8.71939e-06, -1.04405e-08, 4.33801e-06, -5.75058e-09
-0.401566, -7.06428e-08, 1.85637e-07, 0.0050096, 3.74493e-09, 0.00303388, 3.74493e-09, -0.00159482, -1.33601e-06, 5.57868e-07, -0.399971, 1.26537e-06, -3.72231e-07, 0.00197572, 0, 0.00303388, 3.74493e-09, 0.00274526, 1.50552e-08, 0.00248408, 3.40406e-08, 0.00224775, 6.05661e-08, 0.0020339, 9.42124e-08, 0.00184038, 1.34205e-07, 0.00166527, 1.79362e-07, 0.00150681, 2.28048e-07, 0.00136342, 2.77603e-07, 0.00123366, 3.16921e-07, 0.00111624, 3.42678e-07, 0.00100998, 3.55745e-07, 0.000913826, 3.57426e-07, 0.000826806, 3.49319e-07, 0.000748055, 3.33205e-07, 0.000676784, 3.10938e-07, 0.000612281, 2.84357e-07, 0.000553901, 2.55681e-07, 0.000501059, 2.28126e-07, 0.000453229, 2.02015e-07, 0.00040993, 1.77327e-07, 0.000370731, 1.5404e-07, 0.000335239, 1.32132e-07, 0.0003031, 1.11583e-07, 0.000273992, 9.23716e-08, 0.000247623, 7.44764e-08, 0.000223731, 5.78772e-08, 0.000202076, 4.25536e-08, 0.000182442, 2.84857e-08, 0.000164632, 1.56537e-08, 0.000148469, 4.03823e-09, 0.00013379, -6.37997e-09, 0.000120449, -1.56197e-08, 0.000108313, -2.36996e-08, 9.72597e-05, -3.06378e-08, 8.71791e-05, -3.64523e-08, 7.79703e-05, -4.11607e-08, 6.95412e-05, -4.47802e-08, 6.18075e-05, -4.73278e-08, 5.46919e-05, -4.88202e-08, 4.81232e-05, -4.92735e-08, 4.20357e-05, -4.87038e-08, 3.63686e-05, -4.71267e-08, 3.10652e-05, -4.45573e-08, 2.60724e-05, -4.10107e-08, 2.13403e-05, -3.65013e-08, 1.68217e-05, -3.10434e-08, 1.24712e-05, -2.46509e-08, 8.24551e-06, -1.73374e-08, 4.10225e-06, -9.10087e-09
-0.401404, -8.55567e-08, 2.21071e-07, 0.0110659, 1.54198e-08, 0.00316298, 1.54198e-08, -0.00166268, -1.35084e-06, 5.93302e-07, -0.399741, 1.26528e-06, -3.72231e-07, 0.0079029, 0, 0.00316298, 1.54198e-08, 0.00286207, 3.48398e-08, 0.00258978, 6.20068e-08, 0.0023434, 9.64825e-08, 0.00212044, 1.37481e-07, 0.00191869, 1.83799e-07, 0.00173613, 2.33768e-07, 0.00157093, 2.84667e-07, 0.00142143, 3.2511e-07, 0.00128616, 3.51675e-07, 0.00116374, 3.65244e-07, 0.00105296, 3.67141e-07, 0.000952711, 3.58994e-07, 0.000861988, 3.42617e-07, 0.000779886, 3.19906e-07, 0.000705582, 2.9274e-07, 0.000638335, 2.63394e-07, 0.00057747, 2.35174e-07, 0.00052238, 2.08415e-07, 0.000472514, 1.83093e-07, 0.000427374, 1.59188e-07, 0.000386507, 1.36677e-07, 0.000349504, 1.15537e-07, 0.000315998, 9.57471e-08, 0.000285651, 7.72859e-08, 0.00025816, 6.0132e-08, 0.000233251, 4.42645e-08, 0.000210675, 2.96626e-08, 0.000190205, 1.6306e-08, 0.000171638, 4.17446e-09, 0.000154786, -6.75187e-09, 0.000139483, -1.64926e-08, 0.000125575, -2.50669e-08, 0.000112922, -3.24937e-08, 0.000101398, -3.87918e-08, 9.08887e-05, -4.39795e-08, 8.12881e-05, -4.80747e-08, 7.25003e-05, -5.10952e-08, 6.44375e-05, -5.30582e-08, 5.70191e-05, -5.3981e-08, 5.01709e-05, -5.388e-08, 4.38244e-05, -5.27717e-08, 3.79161e-05, -5.06722e-08, 3.2387e-05, -4.7597e-08, 2.71818e-05, -4.35616e-08, 2.22484e-05, -3.85809e-08, 1.75375e-05, -3.26695e-08, 1.30019e-05, -2.58419e-08, 8.59637e-06, -1.8112e-08, 4.2768e-06, -9.47878e-09
-0.400967, -2.26661e-07, 5.68646e-07, 0.0213044, 2.71113e-08, 0.00352286, 2.71113e-08, -0.00185186, -1.49171e-06, 9.40876e-07, -0.399115, 1.26505e-06, -3.72231e-07, 0.0177815, 0, 0.00352286, 2.71113e-08, 0.00318771, 4.85857e-08, 0.00288445, 7.60436e-08, 0.00261003, 1.0876e-07, 0.0023617, 1.45593e-07, 0.002137, 1.84913e-07, 0.00193366, 2.24141e-07, 0.00174966, 2.5398e-07, 0.00158316, 2.71685e-07, 0.00143249, 2.78063e-07, 0.00129615, 2.74387e-07, 0.00117277, 2.62246e-07, 0.00106111, 2.4342e-07, 0.000960065, 2.1977e-07, 0.000868621, 1.93136e-07, 0.000785863, 1.65529e-07, 0.000710964, 1.39254e-07, 0.000643174, 1.1452e-07, 0.000581816, 9.12986e-08, 0.000526277, 6.95646e-08, 0.000476, 4.92908e-08, 0.000430483, 3.04509e-08, 0.000389271, 1.30187e-08, 0.000351951, -3.03144e-09, 0.000318152, -1.77252e-08, 0.000287533, -3.10878e-08, 0.00025979, -4.31443e-08, 0.000234645, -5.39192e-08, 0.000211847, -6.34369e-08, 0.000191166, -7.17215e-08, 0.000172398, -7.87968e-08, 0.000155353, -8.4686e-08, 0.000139862, -8.94124e-08, 0.00012577, -9.29987e-08, 0.000112935, -9.54673e-08, 0.00010123, -9.68403e-08, 9.0537e-05, -9.71397e-08, 8.07493e-05, -9.63867e-08, 7.17692e-05, -9.46025e-08, 6.35067e-05, -9.1808e-08, 5.58793e-05, -8.80235e-08, 4.88107e-05, -8.32693e-08, 4.22302e-05, -7.75651e-08, 3.6072e-05, -7.09303e-08, 3.02745e-05, -6.33842e-08, 2.47798e-05, -5.49455e-08, 1.95329e-05, -4.56327e-08, 1.44813e-05, -3.5464e-08, 9.57446e-06, -2.44573e-08, 4.76341e-06, -1.26173e-08
-0.400219, -4.27409e-07, 1.06224e-06, 0.0360298, 2.73234e-08, 0.00441819, 2.73234e-08, -0.00232251, -1.69201e-06, 1.43447e-06, -0.397897, 1.2646e-06, -3.72231e-07, 0.0316116, 0, 0.00441819, 2.73234e-08, 0.00399787, 4.35503e-08, 0.00361753, 6.30149e-08, 0.00327336, 8.46488e-08, 0.00296193, 1.06897e-07, 0.00268011, 1.27425e-07, 0.0024251, 1.40301e-07, 0.00219434, 1.4387e-07, 0.00198552, 1.38827e-07, 0.00179656, 1.26358e-07, 0.00162556, 1.07978e-07, 0.00147082, 8.53992e-08, 0.00133079, 6.04102e-08, 0.00120406, 3.47737e-08, 0.00108938, 1.00685e-08, 0.000985588, -1.2999e-08, 0.000891654, -3.4417e-08, 0.000806636, -5.42185e-08, 0.000729684, -7.24366e-08, 0.000660029, -8.9104e-08, 0.000596974, -1.04253e-07, 0.000539889, -1.17917e-07, 0.000488203, -1.30126e-07, 0.000441399, -1.40912e-07, 0.000399009, -1.50307e-07, 0.000360609, -1.58341e-07, 0.000325815, -1.65045e-07, 0.00029428, -1.70449e-07, 0.000265687, -1.74582e-07, 0.000239751, -1.77475e-07, 0.000216212, -1.79155e-07, 0.000194836, -1.79652e-07, 0.000175408, -1.78994e-07, 0.000157734, -1.7721e-07, 0.000141638, -1.74326e-07, 0.000126957, -1.70371e-07, 0.000113547, -1.6537e-07, 0.000101272, -1.59352e-07, 9.00092e-05, -1.52342e-07, 7.96468e-05, -1.44366e-07, 7.00809e-05, -1.3545e-07, 6.12158e-05, -1.25619e-07, 5.29629e-05, -1.14898e-07, 4.52396e-05, -1.03312e-07, 3.79687e-05, -9.08853e-08, 3.10775e-05, -7.76421e-08, 2.44971e-05, -6.3606e-08, 1.81616e-05, -4.88007e-08, 1.20078e-05, -3.32493e-08, 5.97403e-06, -1.69644e-08
-0.399367, -4.54567e-07, 1.12083e-06, 0.0560117, 4.30283e-08, 0.00661859, 4.30283e-08, -0.0034792, -1.71842e-06, 1.49306e-06, -0.395888, 1.26385e-06, -3.72231e-07, 0.0493931, 0, 0.00661859, 4.30283e-08, 0.00598894, 6.22681e-08, 0.00541918, 8.36718e-08, 0.0049036, 1.05617e-07, 0.00443707, 1.25727e-07, 0.0040149, 1.38094e-07, 0.00363288, 1.4107e-07, 0.0032872, 1.35359e-07, 0.00297438, 1.2216e-07, 0.00269131, 1.03019e-07, 0.00243515, 7.96793e-08, 0.00220334, 5.39676e-08, 0.00199357, 2.76845e-08, 0.00180373, 2.42717e-09, 0.00163193, -2.11594e-08, 0.00147645, -4.30729e-08, 0.00133573, -6.33471e-08, 0.00120837, -8.2016e-08, 0.00109309, -9.91132e-08, 0.000988746, -1.14672e-07, 0.000894288, -1.28726e-07, 0.000808773, -1.41307e-07, 0.000731345, -1.52447e-07, 0.000661231, -1.62179e-07, 0.00059773, -1.70535e-07, 0.000540205, -1.77545e-07, 0.000488083, -1.83241e-07, 0.000440841, -1.87652e-07, 0.000398008, -1.9081e-07, 0.000359155, -1.92745e-07, 0.000323894, -1.93485e-07, 0.000291871, -1.9306e-07, 0.000262767, -1.91498e-07, 0.000236291, -1.8883e-07, 0.000212178, -1.85081e-07, 0.000190187, -1.80281e-07, 0.000170097, -1.74457e-07, 0.000151708, -1.67636e-07, 0.000134837, -1.59845e-07, 0.000119314, -1.51109e-07, 0.000104984, -1.41457e-07, 9.17035e-05, -1.30912e-07, 7.93403e-05, -1.19502e-07, 6.77705e-05, -1.0725e-07, 5.68785e-05, -9.41826e-08, 4.65552e-05, -8.03236e-08, 3.66975e-05, -6.56976e-08, 2.72068e-05, -5.03285e-08, 1.79881e-05, -3.42402e-08, 8.9493e-06, -1.74465e-08
-0.3956, -7.42043e-07, 1.79804e-06, 0.0762791, -4.94387e-09, 0.00515306, -4.94387e-09, -0.00270881, -2.00478e-06, 2.17027e-06, -0.392892, 1.26273e-06, -3.72231e-07, 0.0711261, 0, 0.00515306, -4.94387e-09, 0.00466283, -6.04164e-09, 0.00421923, -9.38776e-09, 0.00381782, -1.70377e-08, 0.00345458, -2.99335e-08, 0.0031259, -4.80978e-08, 0.00282847, -7.09792e-08, 0.00255932, -9.74916e-08, 0.00231577, -1.26189e-07, 0.00209538, -1.55416e-07, 0.00189594, -1.83443e-07, 0.00171546, -2.08575e-07, 0.00155214, -2.29849e-07, 0.00140434, -2.48999e-07, 0.00127058, -2.66315e-07, 0.00114952, -2.8184e-07, 0.00103996, -2.95617e-07, 0.000940804, -3.07688e-07, 0.000851053, -3.18093e-07, 0.000769812, -3.26875e-07, 0.000696269, -3.34075e-07, 0.000629689, -3.39732e-07, 0.000569406, -3.43887e-07, 0.000514817, -3.46579e-07, 0.000465377, -3.47848e-07, 0.00042059, -3.47731e-07, 0.000380009, -3.46268e-07, 0.000343228, -3.43496e-07, 0.000309879, -3.39452e-07, 0.000279629, -3.34175e-07, 0.000252175, -3.27699e-07, 0.000227243, -3.20063e-07, 0.000204584, -3.11301e-07, 0.00018397, -3.01449e-07, 0.000165196, -2.90542e-07, 0.000148074, -2.78616e-07, 0.000132433, -2.65704e-07, 0.000118116, -2.51841e-07, 0.00010498, -2.3706e-07, 9.28945e-05, -2.21395e-07, 8.17375e-05, -2.04879e-07, 7.13979e-05, -1.87545e-07, 6.17723e-05, -1.69426e-07, 5.27644e-05, -1.50553e-07, 4.42841e-05, -1.30958e-07, 3.62467e-05, -1.10674e-07, 2.85717e-05, -8.97319e-08, 2.11825e-05, -6.81624e-08, 1.40051e-05, -4.59968e-08, 6.96769e-06, -2.32593e-08
-0.392568, -8.60161e-07, 2.08632e-06, 0.10415, -4.40918e-08, 0.00733906, -4.40918e-08, -0.00385792, -2.12134e-06, 2.45855e-06, -0.38871, 1.26118e-06, -3.72231e-07, 0.0968105, 0, 0.00733906, -4.40918e-08, 0.00664087, -5.82852e-08, 0.00600908, -7.78666e-08, 0.00543738, -1.01711e-07, 0.00492006, -1.29149e-07, 0.00445194, -1.59685e-07, 0.00402834, -1.9227e-07, 0.00364502, -2.25484e-07, 0.00329815, -2.57692e-07, 0.00298427, -2.87183e-07, 0.00270023, -3.12288e-07, 0.00244318, -3.323e-07, 0.00221058, -3.49987e-07, 0.00200007, -3.65771e-07, 0.00180957, -3.79696e-07, 0.00163716, -3.91811e-07, 0.00148113, -4.02159e-07, 0.0013399, -4.10786e-07, 0.00121208, -4.17738e-07, 0.00109638, -4.23057e-07, 0.000991635, -4.26789e-07, 0.000896812, -4.28976e-07, 0.000810956, -4.29661e-07, 0.000733209, -4.28887e-07, 0.000662795, -4.26695e-07, 0.000599009, -4.23127e-07, 0.000541213, -4.18224e-07, 0.000488829, -4.12027e-07, 0.000441333, -4.04576e-07, 0.000398251, -3.9591e-07, 0.000359151, -3.8607e-07, 0.000323643, -3.75093e-07, 0.000291371, -3.6302e-07, 0.000262013, -3.49887e-07, 0.000235275, -3.35733e-07, 0.000210889, -3.20596e-07, 0.000188613, -3.04512e-07, 0.000168223, -2.87518e-07, 0.000149514, -2.69651e-07, 0.000132302, -2.50946e-07, 0.000116412, -2.31441e-07, 0.000101686, -2.11169e-07, 8.79768e-05, -1.90167e-07, 7.51477e-05, -1.6847e-07, 6.307e-05, -1.46112e-07, 5.1623e-05, -1.23127e-07, 4.06922e-05, -9.95505e-08, 3.01683e-05, -7.54157e-08, 1.99462e-05, -5.07566e-08, 9.92347e-06, -2.5602e-08
-0.387646, -1.19974e-06, 3.13595e-06, 0.135009, -2.92869e-07, 0.00856256, -2.92869e-07, -0.00450108, -2.45884e-06, 3.50818e-06, -0.383145, 1.25911e-06, -3.72231e-07, 0.126446, 0, 0.00856256, -2.92869e-07, 0.00774797, -3.68738e-07, 0.00701086, -4.43223e-07, 0.00634385, -5.12296e-07, 0.00574029, -5.75811e-07, 0.00519413, -6.33063e-07, 0.00469991, -6.82983e-07, 0.00425269, -7.24302e-07, 0.00384799, -7.55694e-07, 0.00348178, -7.75894e-07, 0.00315038, -7.85606e-07, 0.00285049, -7.92305e-07, 0.0025791, -7.96979e-07, 0.00233351, -7.99688e-07, 0.00211125, -8.0049e-07, 0.0019101, -7.99441e-07, 0.00172805, -7.96598e-07, 0.00156328, -7.92016e-07, 0.00141415, -7.85752e-07, 0.00127915, -7.7786e-07, 0.00115695, -7.68394e-07, 0.00104632, -7.57406e-07, 0.000946151, -7.44951e-07, 0.000855443, -7.3108e-07, 0.00077329, -7.15845e-07, 0.00069887, -6.99298e-07, 0.000631439, -6.81489e-07, 0.000570322, -6.62468e-07, 0.000514908, -6.42285e-07, 0.000464644, -6.20989e-07, 0.000419025, -5.9863e-07, 0.000377597, -5.75255e-07, 0.000339945, -5.50912e-07, 0.000305693, -5.2565e-07, 0.000274497, -4.99515e-07, 0.000246047, -4.72554e-07, 0.000220057, -4.44814e-07, 0.000196267, -4.1634e-07, 0.00017444, -3.8718e-07, 0.000154358, -3.57377e-07, 0.000135819, -3.26978e-07, 0.000118638, -2.96028e-07, 0.000102644, -2.64571e-07, 8.76756e-05, -2.32652e-07, 7.35844e-05, -2.00316e-07, 6.02291e-05, -1.67606e-07, 4.7476e-05, -1.34568e-07, 3.51977e-05, -1.01244e-07, 2.32714e-05, -6.76788e-08, 1.15778e-05, -3.39176e-08
-0.384059, -1.82451e-06, 4.83756e-06, 0.175039, -8.24139e-07, 0.01533, -8.24139e-07, -0.0080585, -3.08096e-06, 5.20979e-06, -0.376001, 1.25645e-06, -3.72231e-07, 0.159709, 0, 0.01533, -8.24139e-07, 0.0138716, -9.78676e-07, 0.0125519, -1.11415e-06, 0.0113577, -1.23085e-06, 0.0102771, -1.32855e-06, 0.00929929, -1.40661e-06, 0.00841447, -1.46424e-06, 0.00761379, -1.5006e-06, 0.00688924, -1.51495e-06, 0.00623359, -1.51014e-06, 0.00564028, -1.50111e-06, 0.00510337, -1.48977e-06, 0.00461749, -1.47619e-06, 0.00417779, -1.46045e-06, 0.00377986, -1.44262e-06, 0.00341974, -1.42279e-06, 0.00309381, -1.40103e-06, 0.00279882, -1.37741e-06, 0.00253181, -1.35201e-06, 0.00229013, -1.32489e-06, 0.00207135, -1.29613e-06, 0.00187328, -1.26581e-06, 0.00169394, -1.23398e-06, 0.00153154, -1.20072e-06, 0.00138446, -1.1661e-06, 0.00125122, -1.13019e-06, 0.0011305, -1.09305e-06, 0.00102107, -1.05475e-06, 0.000921865, -1.01536e-06, 0.000831874, -9.74938e-07, 0.000750201, -9.33553e-07, 0.000676031, -8.91268e-07, 0.000608621, -8.48147e-07, 0.000547297, -8.04255e-07, 0.000491446, -7.59654e-07, 0.000440509, -7.14406e-07, 0.000393978, -6.68575e-07, 0.000351386, -6.22222e-07, 0.000312308, -5.7541e-07, 0.000276354, -5.28198e-07, 0.000243163, -4.8065e-07, 0.000212403, -4.32825e-07, 0.000183768, -3.84786e-07, 0.00015697, -3.36591e-07, 0.000131742, -2.88304e-07, 0.000107831, -2.39982e-07, 8.49986e-05, -1.91689e-07, 6.30162e-05, -1.43483e-07, 4.16639e-05, -9.5426e-08, 2.07283e-05, -4.7588e-08
-0.375929, -3.34315e-06, 9.26524e-06, 0.207606, -2.47704e-06, 0.0165754, -2.47704e-06, -0.00871317, -4.59633e-06, 9.63747e-06, -0.367216, 1.25318e-06, -3.72231e-07, 0.19103, 0, 0.0165754, -2.47704e-06, 0.0149985, -2.79663e-06, 0.0135716, -3.06003e-06, 0.0122804, -3.26823e-06, 0.011112, -3.42203e-06, 0.0100548, -3.52211e-06, 0.00909805, -3.56922e-06, 0.00823232, -3.56428e-06, 0.00744892, -3.51628e-06, 0.00674001, -3.46091e-06, 0.00609849, -3.4026e-06, 0.00551796, -3.34148e-06, 0.00499261, -3.27768e-06, 0.00451719, -3.21132e-06, 0.00408694, -3.14253e-06, 0.00369755, -3.07144e-06, 0.00334515, -2.99816e-06, 0.00302619, -2.92282e-06, 0.0027375, -2.84553e-06, 0.00247618, -2.76641e-06, 0.00223962, -2.68558e-06, 0.00202546, -2.60315e-06, 0.00183155, -2.51924e-06, 0.00165596, -2.43395e-06, 0.00149693, -2.3474e-06, 0.00135287, -2.2597e-06, 0.00122234, -2.17096e-06, 0.00110403, -2.08127e-06, 0.000996757, -1.99076e-06, 0.000899455, -1.89953e-06, 0.000811147, -1.80768e-06, 0.000730951, -1.71532e-06, 0.000658065, -1.62255e-06, 0.000591759, -1.52948e-06, 0.00053137, -1.43621e-06, 0.000476296, -1.34284e-06, 0.000425984, -1.24947e-06, 0.000379933, -1.15621e-06, 0.00033768, -1.06316e-06, 0.000298805, -9.70425e-07, 0.000262917, -8.781e-07, 0.000229659, -7.86289e-07, 0.000198697, -6.95094e-07, 0.000169722, -6.04618e-07, 0.000142444, -5.14962e-07, 0.000116591, -4.26228e-07, 9.19038e-05, -3.3852e-07, 6.81356e-05, -2.5194e-07, 4.50487e-05, -1.6659e-07, 2.24123e-05, -8.26088e-08
-0.367034, -3.26824e-06, 9.49208e-06, 0.237557, -3.0259e-06, 0.0191569, -3.0259e-06, -0.0100702, -4.5176e-06, 9.86431e-06, -0.356964, 1.24936e-06, -3.72231e-07, 0.2184, 0, 0.0191569, -3.0259e-06, 0.0173344, -3.30865e-06, 0.0156853, -3.53122e-06, 0.014193, -3.69453e-06, 0.0128427, -3.79956e-06, 0.0116207, -3.84736e-06, 0.010515, -3.8392e-06, 0.00951446, -3.78493e-06, 0.00860905, -3.72305e-06, 0.00778972, -3.65833e-06, 0.0070483, -3.59089e-06, 0.00637735, -3.52087e-06, 0.00577018, -3.44839e-06, 0.00522071, -3.37358e-06, 0.00472345, -3.29656e-06, 0.00427343, -3.21745e-06, 0.00386613, -3.13638e-06, 0.0034975, -3.05347e-06, 0.00316385, -2.96883e-06, 0.00286183, -2.88258e-06, 0.00258843, -2.79483e-06, 0.00234091, -2.7057e-06, 0.00211681, -2.6153e-06, 0.00191387, -2.52375e-06, 0.00173007, -2.43115e-06, 0.00156357, -2.3376e-06, 0.00141271, -2.24323e-06, 0.00127597, -2.14814e-06, 0.001152, -2.05242e-06, 0.00103954, -1.9562e-06, 0.000937478, -1.85957e-06, 0.000844792, -1.76264e-06, 0.000760554, -1.66551e-06, 0.000683922, -1.56829e-06, 0.000614128, -1.47107e-06, 0.000550476, -1.37397e-06, 0.000492329, -1.27707e-06, 0.000439105, -1.1805e-06, 0.000390272, -1.08434e-06, 0.000345342, -9.88692e-07, 0.000303865, -8.93669e-07, 0.000265427, -7.99367e-07, 0.000229643, -7.05889e-07, 0.000196155, -6.13336e-07, 0.000164629, -5.2181e-07, 0.000134749, -4.31415e-07, 0.000106217, -3.42252e-07, 7.87473e-05, -2.54425e-07, 5.20647e-05, -1.68038e-07, 2.59029e-05, -8.3231e-08
-0.358732, -3.98206e-06, 1.16067e-05, 0.267101, -4.26488e-06, 0.025282, -4.26488e-06, -0.01329, -5.22713e-06, 1.19789e-05, -0.345442, 1.24508e-06, -3.72231e-07, 0.241819, 0, 0.025282, -4.26488e-06, 0.0228768, -4.54795e-06, 0.0207004, -4.75417e-06, 0.018731, -4.88497e-06, 0.0169489, -4.94206e-06, 0.0153363, -4.9274e-06, 0.013877, -4.85395e-06, 0.0125566, -4.77118e-06, 0.0113616, -4.68517e-06, 0.0102804, -4.59608e-06, 0.00930187, -4.50408e-06, 0.00841641, -4.40931e-06, 0.0076151, -4.31193e-06, 0.00688995, -4.21208e-06, 0.0062337, -4.10991e-06, 0.00563978, -4.00556e-06, 0.00510227, -3.89918e-06, 0.00461577, -3.79091e-06, 0.00417543, -3.68088e-06, 0.00377685, -3.56923e-06, 0.00341604, -3.4561e-06, 0.00308938, -3.34162e-06, 0.00279362, -3.22593e-06, 0.0025258, -3.10914e-06, 0.00228323, -2.9914e-06, 0.0020635, -2.87283e-06, 0.0018644, -2.75357e-06, 0.00168394, -2.63372e-06, 0.00152033, -2.51343e-06, 0.00137192, -2.39281e-06, 0.00123722, -2.27199e-06, 0.0011149, -2.15108e-06, 0.00100373, -2.03023e-06, 0.000902594, -1.90953e-06, 0.000810486, -1.78913e-06, 0.000726482, -1.66913e-06, 0.000649743, -1.54966e-06, 0.000579501, -1.43083e-06, 0.000515055, -1.31278e-06, 0.000455759, -1.19561e-06, 0.000401021, -1.07945e-06, 0.000350292, -9.6442e-07, 0.000303067, -8.50641e-07, 0.000258872, -7.38232e-07, 0.000217267, -6.27315e-07, 0.000177833, -5.18013e-07, 0.000140179, -4.10446e-07, 0.000103925, -3.04737e-07, 6.87116e-05, -2.01011e-07, 3.41849e-05, -9.94369e-08
